dep,arr,dep_country,arr_country,dep_continent,arr_continent,flights,cycles,block_h,median_block_h,gc_km,night_share,inferred_share,suspect_share,first_seen,last_seen,callsigns,aircraft,suggested,segment
CVG,YYC,US,CA,NA,NA,44,44,175.81,4.02,2640.2,0.864,0.0,0.023,2025-04-02T10:13:22Z,2026-09-10T10:47:01Z,CJT1925 CJT918,22,?,charter
YYC,CVG,CA,US,NA,NA,46,46,167.15,3.56,2640.2,0.935,0.0,0.0,2025-04-02T00:55:47Z,2026-09-10T01:25:40Z,00000000 CJT050 CJT1925 CJT917,21,?,charter
CVG,MTY,US,MX,NA,NA,48,48,147.87,3.09,2062.4,0.958,0.0,0.0,2025-04-02T10:14:54Z,2026-09-10T10:21:23Z,CJT914 CJT967 CJT990,14,acmi,acmi
YWG,YHM,CA,CA,NA,NA,68,68,143.57,2.09,1516.1,0.868,0.0,0.118,2025-04-01T23:58:11Z,2026-09-10T06:01:08Z,00000000 CJT454 CJT462 CJT550 CJT566,33,domestic,domestic
YYC,YVR,CA,CA,NA,NA,96,96,139.43,1.44,687.2,0.583,0.0,0.0,2025-04-02T04:56:46Z,2026-09-10T21:19:06Z,00000000 CJT2384 CJT2385 CJT2386 CJT2389,21,domestic,domestic
YWG,YMX,CA,CA,NA,NA,53,53,126.16,2.36,1787.7,0.811,0.0,0.189,2025-04-02T06:55:20Z,2026-09-10T15:08:20Z,CJT454 CJT462 CJT554 CJT570,21,domestic,domestic
YWG,YYC,CA,CA,NA,NA,62,62,122.11,1.95,1190.7,0.71,0.0,0.016,2025-04-02T07:50:41Z,2026-09-10T08:36:33Z,CJT1571 CJT454 CJT551 CJT590 CJT937,21,domestic,domestic
MTY,CVG,MX,US,NA,NA,40,40,116.87,2.92,2062.4,1.0,0.0,0.0,2025-04-02T02:24:54Z,2026-09-10T02:43:09Z,00000000 CJT913 CJT967 CJT968 CJT991,9,acmi,acmi
YYC,YWG,CA,CA,NA,NA,61,61,114.15,1.87,1190.7,0.689,0.0,0.0,2025-04-02T04:19:15Z,2026-09-10T03:25:55Z,00000000 CJT1571 CJT550 CJT566 CJT583,19,domestic,domestic
SDF,YVR,US,CA,NA,NA,21,21,99.28,4.77,3211.0,1.0,0.0,0.0,2026-04-01T08:42:14Z,2026-09-10T08:48:45Z,CJT490,7,?,charter
