"Date","Price","Open","High","Low","Vol.","Change %"
"03/26/2026","80.61","82.44","83.03","80.57","50.95K","-3.24%"
"03/25/2026","83.31","82.96","83.80","82.04","74.99K","2.01%"
"03/24/2026","81.67","82.20","83.31","81.63","53.67K","-1.73%"
"03/23/2026","83.11","82.50","84.15","82.30","154.86K","2.10%"
"03/20/2026","81.40","83.00","83.29","80.73","130.59K","-1.89%"
"03/19/2026","82.97","83.91","85.38","82.61","82.15K","-2.45%"
"03/18/2026","85.05","86.54","86.57","83.30","116.68K","-2.17%"
"03/17/2026","86.94","87.79","88.95","86.88","77.93K","0.17%"
"03/16/2026","86.79","85.07","86.81","85.07","49.62K","2.07%"
"03/13/2026","85.03","85.55","86.25","84.62","216.20K","-0.58%"
"03/12/2026","85.53","88.00","88.50","85.02","147.79K","-3.38%"
"03/11/2026","88.52","88.40","89.63","87.90","65.93K","0.03%"
"03/10/2026","88.49","88.34","89.90","87.10","59.94K","0.31%"
"03/09/2026","88.22","89.01","89.63","84.90","120.05K","-2.84%"
"03/06/2026","90.80","92.10","92.57","90.40","104.17K","-2.73%"
"03/05/2026","93.35","93.39","94.84","92.38","44.80K","-0.73%"
"03/04/2026","94.04","93.95","95.38","93.51","46.94K","0.99%"
"03/03/2026","93.12","93.60","93.60","90.05","106.76K","-0.81%"
"03/02/2026","93.88","93.00","95.26","93.00","48.14K","-1.61%"
"02/27/2026","95.42","97.11","97.19","94.19","109.55K","-2.81%"
"02/26/2026","98.18","92.34","100.87","92.34","278.03K","6.28%"
"02/25/2026","92.38","95.00","96.75","87.52","497.40K","1.30%"
"02/24/2026","91.19","93.25","94.50","91.05","96.84K","-2.50%"
"02/23/2026","93.53","96.74","96.90","92.80","216.22K","-4.46%"
"02/20/2026","97.90","97.80","99.15","96.62","95.31K","0.10%"
"02/19/2026","97.80","95.77","97.80","95.56","73.28K","1.79%"
"02/18/2026","96.08","96.00","96.77","95.60","121.66K","-0.16%"
"02/17/2026","96.23","94.50","96.70","93.81","57.89K","1.44%"
"02/13/2026","94.86","96.40","97.00","94.50","99.95K","-1.82%"
"02/12/2026","96.62","98.39","99.40","95.75","86.17K","-1.09%"
"02/11/2026","97.68","97.35","98.55","97.08","92.45K","0.42%"
"02/10/2026","97.27","95.80","98.67","95.45","84.42K","1.35%"
"02/09/2026","95.97","95.25","97.43","95.25","86.61K","0.57%"
"02/06/2026","95.43","93.98","96.10","92.86","56.37K","1.42%"
"02/05/2026","94.09","95.75","95.75","92.49","111.87K","-2.01%"
"02/04/2026","96.02","95.72","97.05","94.76","103.44K","0.68%"
"02/03/2026","95.37","94.93","97.23","94.50","116.17K","1.47%"
"02/02/2026","93.99","92.30","94.54","92.30","52.48K","1.11%"
"01/30/2026","92.96","94.75","94.75","92.10","163.99K","-1.81%"
"01/29/2026","94.67","95.40","95.50","92.78","102.84K","-0.46%"
"01/28/2026","95.11","94.04","96.80","93.50","155.64K","1.18%"
"01/27/2026","94.00","93.25","94.79","91.91","89.31K","1.06%"
"01/26/2026","93.01","93.97","94.00","92.43","47.86K","-0.78%"
"01/23/2026","93.74","94.17","94.61","92.92","69.12K","0.13%"
"01/22/2026","93.62","93.29","95.00","93.00","115.17K","0.48%"
"01/21/2026","93.17","90.30","94.10","90.26","254.85K","3.21%"
"01/20/2026","90.27","89.48","91.08","86.30","219.73K","0.79%"
"01/19/2026","89.56","91.07","91.07","89.51","35.40K","-1.98%"
"01/16/2026","91.37","92.95","92.95","91.08","174.10K","-1.70%"
